variable_set|section|subsection|variable_name|polity_name|polity_new_ID|predecessor|successor|contested|overturn|predecessor_assassination|intra_elite|military_revolt|popular_uprising|separatist_rebellion|external_invasion|external_interference|name|transition_year|confidence|is_disputed|is_uncertain|expert_checked
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Nebka / Horus Sanakht|Djoser / Horus Netjerykhet|SU|SU|SU|SU|SU|SU|SU|A|SU|None|-2667|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Djoser / Horus Netjerykhet|Djoser Teti / Horus Sekhemkhet|SU|SU|SU|SU|SU|SU|SU|A|SU|None|-2648|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Djoser Teti / Horus Sekhemkhet|Horus Khaba|SU|SU|SU|SU|SU|SU|SU|A|SU|None|-2640|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Horus Khaba|Huni / Horus Qahedjet|SU|SU|SU|SU|SU|SU|SU|A|SU|None|-2637|Confident|False|False|False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Huni / Horus Qahedjet|Snefru|A|A|A|A|A|A|A|A|A|None|-2613|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Snefru|Khufu / Cheops|A|A|A|A|A|A|A|A|A|None|-2589|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Khufu / Cheops|Djedefre / Redjedef|SU|A|A|A|A|A|A|A|A|None|-2566|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Djedefre / Redjedef|Khafre / Chephren|SU|SU|SU|SU|SU|SU|SU|A|SU|None|-2558|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Khafre / Chephren|Menkaure / Mykerinos|SU|A|A|A|A|A|A|A|A|None|-2532|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Menkaure / Mykerinos|Shepseskaf|IA|A|A|A|A|A|A|A|A|None|-2503|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Shepseskaf|Userkaf|SU|SU|SU|SU|SU|SU|SU|A|SU|None|-2498|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Userkaf|Sahure|SU|A|A|A|A|A|A|A|A|None|-2487|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Sahure|Neferirkare Kakai|SU|A|A|A|A|A|A|A|A|None|-2475|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Neferirkare Kakai|Shepseskare|SU|SU|SU|SU|SU|SU|SU|A|SU|None|-2455|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Shepseskare|Neferefre / Reneferet|SU|SU|SU|SU|SU|SU|SU|A|SU|None|-2448|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Neferefre / Reneferet|Niuserre|SU|SU|SU|SU|SU|SU|SU|A|SU|None|-2445|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Niuserre|Menkauhor|SU|SU|SU|SU|SU|SU|SU|A|SU|None|-2421|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Menkauhor|Djedkare Isesi|SU|SU|SU|SU|SU|SU|SU|A|SU|None|-2414|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Djedkare Isesi|Unis|SU|SU|SU|SU|SU|SU|SU|A|SU|None|-2375|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Classic Old Kingdom|eg_old_k_1|Unis|Teti|P|SU|SU|SU|SU|SU|SU|A|SU|None|-2345|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Late Old Kingdom|eg_old_k_2|Teti|Userkara|IP|IP|SU|IP|SU|SU|SU|A|SU|None|-2323|Confident|||False
Crisisdb|Power Transitions||Power Transition|Akkadian Empire|iq_akkad_emp|Sargon|Rimush|P|A|A|A|A|A|P|A|A|None|-2279|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Late Old Kingdom|eg_old_k_2|Userkara|Pepi I / Meryre|IP|IP|SU|IP|SU|SU|SU|A|SU|None|-2321|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Late Old Kingdom|eg_old_k_2|Pepi I / Meryre|Merenre / Nemtyemsaf|SU|A|A|A|A|A|A|A|A|None|-2287|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Late Old Kingdom|eg_old_k_2|Merenre / Nemtyemsaf|Pepi II / Neferkare|IA|IA|IA|IA|IA|IA|IA|A|IA|None|-2278|Confident|||False
